Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772359200,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,38.0,42.3,2.1,187.4,256
1772359201,10,,Aggregated,53.724000,1.000000,40,43,46,49,89,101,140,152,159,178,187,145,1,40.732725570043954,45.341955042443665,2.1,187.4,256
1772359202,20,,Aggregated,63.888000,1.000000,42,46,49,52,94,106,147,159,159,178,187,290,2,42.79638461340501,47.6391333986061,2.1,187.4,256
1772359203,30,,Aggregated,74.052000,1.000000,43,47,50,53,96,109,150,163,159,178,187,435,3,43.685721423643116,48.629105690002724,2.1,187.4,256
1772359204,40,,Aggregated,84.216000,1.000000,43,46,49,52,95,107,148,161,159,178,187,580,4,43.18299533290639,48.06949217320895,2.1,187.4,256
1772359205,50,,Aggregated,94.380000,1.000000,41,44,47,50,91,103,142,154,159,178,187,726,5,41.41129122139255,46.0973057543396,2.1,187.4,256
1772359206,50,,Aggregated,104.544000,1.166667,38,41,44,47,85,97,133,145,159,178,187,871,7,38.80438404594124,43.19540645113985,2.1,187.4,256
1772359207,50,,Aggregated,114.708000,1.142857,36,38,41,43,79,90,123,134,159,178,187,1016,8,36.000535602169165,40.07428042030936,2.1,187.4,256
1772359208,50,,Aggregated,124.872000,1.125000,33,36,38,41,74,84,115,125,159,178,187,1161,9,33.68622577674481,37.49808816727119,2.1,187.4,256
1772359209,50,,Aggregated,135.036000,1.111111,32,35,37,39,71,81,111,121,159,178,187,1306,10,32.428078329308946,36.09757140341496,2.1,187.4,256
1772359210,50,,Aggregated,145.200000,1.100000,32,35,37,39,71,81,111,121,159,178,187,1452,11,32.53413163442011,36.215625477262385,2.1,187.4,256
1772359211,50,,Aggregated,145.200000,1.090909,33,36,39,41,74,84,116,126,159,178,187,1597,12,33.978420144248766,37.823346634255856,2.1,187.4,256
1772359212,50,,Aggregated,145.200000,1.166667,36,39,41,44,80,91,125,136,159,178,187,1742,14,36.407331660266124,40.52710866392781,2.1,187.4,256
1772359213,50,,Aggregated,145.200000,1.153846,39,42,45,47,86,98,134,146,159,178,187,1887,15,39.226183932100554,43.66493632441719,2.1,187.4,256
1772359214,50,,Aggregated,145.200000,1.142857,41,45,48,50,91,104,143,155,159,178,187,2032,16,41.7448236126971,46.46857996887071,2.1,187.4,256
1772359215,50,,Aggregated,145.200000,1.133333,43,46,49,52,95,108,149,161,159,178,187,2178,17,43.34659986761601,48.25160985263571,2.1,187.4,256
1772359216,50,,Aggregated,145.200000,1.125000,43,47,50,53,96,109,150,163,159,178,187,2323,18,43.63934200575327,48.57747807482535,2.1,187.4,256
1772359217,50,,Aggregated,145.200000,1.117647,42,45,48,51,93,106,146,159,159,178,187,2468,19,42.55137654195389,47.366400729596045,2.1,187.4,256
1772359218,50,,Aggregated,145.200000,1.166667,40,43,46,49,88,100,138,150,159,178,187,2613,21,40.34907536587801,44.91489178885894,2.1,187.4,256
1772359219,50,,Aggregated,145.200000,1.157895,37,40,43,45,82,93,129,140,159,178,187,2758,22,37.57163861336769,41.82316614066982,2.1,187.4,256
1772359220,50,,Aggregated,145.200000,1.150000,34,37,40,42,76,87,119,130,159,178,187,2904,23,34.89907966793059,38.84818605140695,2.1,187.4,256
1772359221,50,,Aggregated,145.200000,1.142857,32,35,37,40,72,82,113,123,159,178,187,3049,24,32.98573416816148,36.718330402979745,2.1,187.4,256
1772359222,50,,Aggregated,145.200000,1.136364,32,34,37,39,71,80,111,120,159,178,187,3194,25,32.300055822660994,35.95506213943578,2.1,187.4,256
1772359223,50,,Aggregated,145.200000,1.130435,33,35,37,40,72,82,113,123,159,178,187,3339,26,33.00992260427596,36.74525595160192,2.1,187.4,256
1772359224,50,,Aggregated,145.200000,1.166667,34,37,40,42,76,87,120,130,159,178,187,3484,28,34.941534367397516,38.895444835287236,2.1,187.4,256
1772359225,50,,Aggregated,145.200000,1.160000,37,40,43,45,82,94,129,140,159,178,187,3630,29,37.621965185098155,41.87918756130663,2.1,187.4,256
1772359226,50,,Aggregated,145.200000,1.153846,40,43,46,49,88,100,138,150,159,178,187,3775,30,40.394952109911856,44.96595984866504,2.1,187.4,256
1772359227,50,,Aggregated,145.200000,1.148148,42,45,48,51,93,106,146,159,159,178,187,3920,31,42.581571231344235,47.40001218647003,2.1,187.4,256
1772359228,50,,Aggregated,145.200000,1.142857,43,47,50,53,96,109,150,163,159,178,187,4065,32,43.64646192746076,48.58540367188395,2.1,187.4,256
1772359229,50,,Aggregated,145.200000,1.137931,43,46,49,52,95,108,148,161,159,178,187,4210,33,43.32890181649069,48.23190912730411,2.1,187.4,256
1772359230,50,,Aggregated,145.200000,1.166667,41,45,47,50,91,104,143,155,159,178,187,4356,35,41.70664068889556,46.4260763457969,2.1,187.4,256
1772359231,50,,Aggregated,145.200000,1.161290,39,42,45,47,86,97,134,146,159,178,187,4501,36,39.17686464704544,43.61003617289532,2.1,187.4,256
1772359232,50,,Aggregated,145.200000,1.156250,36,39,41,44,79,90,124,135,159,178,187,4646,37,36.35895109500913,40.47325345576016,2.1,187.4,256
1772359233,50,,Aggregated,145.200000,1.151515,33,36,39,41,74,84,116,126,159,178,187,4791,38,33.942823548496,37.783722002667915,2.1,187.4,256
1772359234,50,,Aggregated,145.200000,1.147059,32,35,37,39,71,81,111,121,159,178,187,4936,39,32.520034296286525,36.19993291402421,2.1,187.4,256
1772359235,50,,Aggregated,145.200000,1.142857,32,35,37,39,71,81,111,121,159,178,187,5082,40,32.4389317688315,36.109652995304536,2.1,187.4,256
1772359236,50,,Aggregated,145.200000,1.166667,33,36,38,41,74,84,115,126,159,178,187,5227,42,33.719372693401446,37.53498591923371,2.1,187.4,256
1772359237,50,,Aggregated,145.200000,1.162162,36,38,41,43,79,90,123,134,159,178,187,5372,43,36.04786047472321,40.12696047581031,2.1,187.4,256
1772359238,50,,Aggregated,145.200000,1.157895,38,41,44,47,85,97,133,145,159,178,187,5517,44,38.85430009507883,43.250970895311426,2.1,187.4,256
1772359239,50,,Aggregated,145.200000,1.153846,41,44,47,50,91,103,142,154,159,178,187,5662,45,41.45157725740172,46.14215047337086,2.1,187.4,256
1772359240,50,,Aggregated,145.200000,1.150000,43,46,49,52,95,108,148,161,159,178,187,5808,46,43.203787929147474,48.09263761586679,2.1,187.4,256
1772359241,50,,Aggregated,145.200000,1.146341,43,47,50,53,96,109,150,163,159,178,187,5953,47,43.681929827389155,48.62488504469898,2.1,187.4,256
1772359242,50,,Aggregated,145.200000,1.166667,42,46,49,52,94,106,147,159,159,178,187,6098,49,42.76893713965552,47.60858002651127,2.1,187.4,256
1772359243,50,,Aggregated,145.200000,1.162791,40,43,46,49,89,101,139,152,159,178,187,6243,50,40.688342317636916,45.29254947463267,2.1,187.4,256
1772359244,50,,Aggregated,145.200000,1.159091,37,40,43,46,83,94,130,141,159,178,187,6388,51,37.9495475370447,42.24383844255239,2.1,187.4,256
1772359245,50,,Aggregated,145.200000,1.155556,35,38,40,42,77,88,121,131,159,178,187,6534,52,35.2231052789751,39.20887771843807,2.1,187.4,256
1772359246,50,,Aggregated,145.200000,1.152174,33,35,38,40,72,82,114,123,159,178,187,6679,53,33.17654369620153,36.930731535508535,2.1,187.4,256
